Entry,Identity,M+.,[M+H]+,CCS (Å2),SourceCCS,Retention time (min),SourceRT,Retention index,Type
75,Hydroxy-ibuprofen,222.1251,223.1329,146.67,Predicted,15.77,Predicted,1785,Kovatas
76,Bis(2-(2-methoxyethoxy)ethyl)ether,222.1462,223.154,152.1,Predicted,12.23,Predicted,1471,Kovatas
77,Benzophenone-3,228.0781,229.0859,146.43,Measured,15.7,Measured,623675,Fiehn
78,Chrysene,228.0934,229.1012,143.58,Measured,21.57,Measured,2406,Kovatas
79,Bisphenol A,228.1145,229.1223,149.5,Measured,18.12,Measured,722501,Fiehn
80,Amiloride,229.0474,230.0552,145.71,Measured,19.35,Predicted,2146,Kovatas
81,Trichloronaphthalene 19,229.9452,230.953,141.23,Predicted,14.87,Predicted,1702,Kovatas
82,Trichloronaphthalene 20,229.9452,230.953,142.39,Predicted,14.87,Predicted,1702,Kovatas
83,Trichloronaphthalene 13,229.9452,230.953,142.71,Predicted,15.25,Predicted,1737,Kovatas
84,Trichloronaphthalene 21,229.9452,230.953,141.83,Predicted,15.59,Predicted,1768,Kovatas
85,Trichloronaphthalene 14,229.9452,230.953,144.68,Predicted,15.59,Predicted,1768,Kovatas
86,Trichloronaphthalene 25,229.9452,230.953,142.02,Predicted,15.76,Predicted,1784,Kovatas
87,Trichloronaphthalene 24,229.9452,230.953,137.7,Predicted,15.81,Predicted,1788,Kovatas
88,Trichloronaphthalene 15,229.9452,230.953,141.06,Predicted,15.89,Predicted,1796,Kovatas
89,Trichloronaphthalene 22,229.9452,230.953,141.84,Predicted,15.99,Predicted,1805,Kovatas
90,Trichloronaphthalene 16,229.9452,230.953,141.57,Predicted,16.03,Predicted,1809,Kovatas
91,Trichloronaphthalene 26,229.9452,230.953,142.4,Predicted,16.2,Predicted,1825,Kovatas
92,Trichloronaphthalene 17,229.9452,230.953,141.87,Predicted,16.31,Predicted,1835,Kovatas
93,Trichloronaphthalene 23,229.9452,230.953,135.64,Predicted,16.58,Predicted,1861,Kovatas
94,Trichloronaphthalene 18,229.9452,230.953,142.23,Predicted,16.59,Predicted,1862,Kovatas
95,Naproxen,230.0938,231.1016,147.82,Predicted,18.33,Predicted,2036,Kovatas
