Entry,Identity,M+.,[M+H]+,CCS (Å2),SourceCCS,Retention time (min),SourceRT,Retention index,Type
463,"2,2',3,3',4,5,6'-Heptachlorodiphenyl ether",409.797,410.8048,178.33,Predicted,23.7,Predicted,2683,Kovatas
464,"2,3,3',4,4',5,6-Heptachlorodiphenyl ether",409.797,410.8048,179.74,Predicted,23.74,Predicted,2688,Kovatas
465,"2,2',3,4,5,6,6'-Heptachlorodiphenyl ether",409.797,410.8048,174.05,Predicted,23.84,Predicted,2702,Kovatas
466,"Bis(3,5,5-trimethylhexyl) phthalate",418.3078,419.3156,212.6,Predicted,23,Predicted,2589,Kovatas
467,Di-iso-nonyl phthalate,418.3078,419.3156,223.49,Measured,23.45,Measured,2649,Kovatas
468,"1,2,4,5-Tetrabromo-3,6-dimethylbenzene",421.7157,422.7235,167.99,Predicted,17.42,Predicted,1944,Kovatas
469,"4-(1,2-Dibromoethyl)-1,2-dibromocyclohexane ",427.7627,428.7705,169.31,Predicted,17.45,Predicted,1947,Kovatas
470,"Tris(1,3-dichloro-2-propyl)phosphate",429.8805,430.8883,175.18,Measured,21.09,Predicted,2347,Kovatas
471,Tris(2-ethylhexyl)phosphate,434.352,435.3598,220.38,Measured,22.03,Measured,2463,Kovatas
472,"14-(Nonylphenoxy)-3,6,9,12-tetraoxatetradecan-1-ol",440.3133,441.3211,208.01,Predicted,27.11,Predicted,3155,Kovatas
473,"14-(4-Nonylphenoxy)-3,6,9,12-tetraoxatetradecan-1-ol",440.3133,441.3211,208.91,Predicted,27.96,Predicted,3269,Kovatas
474,Tetrabromo-o-chlorotoluene ,441.6609,442.6687,170.87,Predicted,23.45,Predicted,2649,Kovatas
475,Dodecamethylcyclohexasiloxane ,444.1123,445.1201,186.67,Predicted,11.48,Predicted,1407,Kovatas
476,"2,2',3,3',4,4',6,6'-Octachlorodiphenyl ether",445.7551,446.7629,183.88,Predicted,24.35,Predicted,2772,Kovatas
477,"2,2',3,4,4',5,5',6-Octachlorodiphenyl ether",445.7551,446.7629,183,Predicted,24.36,Predicted,2773,Kovatas
478,"2,2',3,3',4,5',6,6'-Octachlorodiphenyl ether",445.7551,446.7629,187.46,Predicted,24.45,Predicted,2785,Kovatas
479,"2,2',3,3',5,5',6,6'-Octachlorodiphenyl ether",445.7551,446.7629,189.12,Predicted,24.48,Predicted,2790,Kovatas
480,"2,2',3,3',4,4',5,5'-Octachlorodiphenyl ether",445.7551,446.7629,189.1,Predicted,24.51,Predicted,2793,Kovatas
481,"2,3,3',4,4',5,5',6-Octachlorodiphenyl ether",445.7551,446.7629,184.49,Predicted,24.52,Predicted,2795,Kovatas
482,"2,2',3,4,4',5,6,6'-Octachlorodiphenyl ether",445.7551,446.7629,182.92,Predicted,24.64,Predicted,2812,Kovatas
483,"2,2',3,3',4,4',5,6-Octachlorodiphenyl ether",445.7551,446.7629,182.54,Predicted,24.66,Predicted,2815,Kovatas
484,"2,2',3,3',4,5,5',6-Octachlorodiphenyl ether",445.7551,446.7629,183.62,Predicted,24.72,Predicted,2823,Kovatas
485,"2,2',3,3',4,5,5',6'-Octachlorodiphenyl ether",445.7551,446.7629,185.44,Predicted,24.73,Predicted,2824,Kovatas
486,"2,2',3,3',4,4',5,6'-Octachlorodiphenyl ether",445.7551,446.7629,183.01,Predicted,24.79,Predicted,2832,Kovatas
487,"2,2',3,3',4,5,6,6'-Octachlorodiphenyl ether",445.7551,446.7629,180.98,Predicted,24.87,Predicted,2843,Kovatas
488,Di-iso-decyl phthalate,446.3391,447.3469,227.85,Measured,24.41,Measured,980606,Fiehn
489,"2-Bromoallyl-2,4,6-tribromophenyl ether",449.7107,450.7185,164.9,Predicted,18.39,Predicted,2043,Kovatas
490,Pentabromobenzene,471.5949,472.6027,170.78,Predicted,18.41,Predicted,2045,Kovatas
491,Diundecyl phthalate,474.3704,475.3782,230.76,Predicted,19.06,Predicted,2114,Kovatas
492,"2,2',3,3',4,4',5,6,6'-Nonachlorodiphenyl ether",479.7161,480.7239,185.98,Predicted,25.79,Predicted,2972,Kovatas
493,"2,2',3,3',4,4',5,5',6-Nonachlorodiphenyl ether",479.7161,480.7239,186.27,Predicted,25.83,Predicted,2978,Kovatas
494,"2,2',3,3',4,5,5',6,6'-Nonachlorodiphenyl ether",479.7161,480.7239,188.84,Predicted,25.87,Predicted,2984,Kovatas
495,Tetrabromophthalate,481.6641,482.6719,183.66,Predicted,23.29,Predicted,2627,Kovatas
496,"17-(Nonylphenoxy)-3,6,9,12,15-pentaoxaheptadecan-1-ol ",484.3395,485.3473,218.06,Predicted,29.2,Predicted,3427,Kovatas
497,"17-(4-Nonylphenoxy)-3,6,9,12,15-pentaoxaheptadecan-1-ol",484.3395,485.3473,219.18,Predicted,30.12,Predicted,3534,Kovatas
498,Pentabromotoluene ,485.6106,486.6184,180.57,Predicted,19.37,Predicted,2148,Kovatas
499,"α,α-Bis[4-(dimethylamino)phenyl]-4 (phenylamino)naphthalene-1-methanol",487.2619,488.2697,222.03,Predicted,36,Predicted,4040,Kovatas
500,Pentabromoethylbenzene ,499.6262,500.634,190.14,Predicted,24.06,Predicted,2732,Kovatas
501,Decachlorodiphenyl ether,513.6771,514.6849,191.31,Predicted,27.1,Predicted,3154,Kovatas
502,"20-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]-3,6,9,12,15,18-hexaoxaicosan-1-ol",514.3501,515.3579,224.1,Predicted,29.79,Predicted,3496,Kovatas
503,N-ethyl perfluorooctanesulfonamide,526.9843,527.9921,178.42,Measured,24.04,Predicted,2729,Kovatas
504,"20-(Isononylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",528.3657,529.3735,228.51,Predicted,31.21,Predicted,3651,Kovatas
505,"20-(Nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",528.3657,529.3735,227.87,Predicted,31.62,Predicted,3692,Kovatas
506,"20-(4-Nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",528.3657,529.3735,228.42,Predicted,32.78,Predicted,3800,Kovatas
507,"2,4,6-Tribromophenyl 2,3-dibromopropyl ether",529.6368,530.6446,174.52,Predicted,22.08,Predicted,2470,Kovatas
508,Tetrabromobisphenol A,543.7526,544.7604,193.1,Measured,26.05,Predicted,3009,Kovatas
509,Undecachloropentacyclooctadecadiene,545.6169,546.6247,185.22,Predicted,22.27,Measured,2494,Kovatas
510,"2-Ethylhexyl 2,3,4,5-tetrabromobenzoate ",549.7995,550.8073,213.35,Predicted,21.15,Predicted,2354,Kovatas
511,Hexabromobenzene,551.5034,552.5112,187.02,Predicted,21.22,Predicted,2363,Kovatas
512,Pentabromobenzyl acrylate ,555.6161,556.6239,204.4,Predicted,23.84,Predicted,2701,Kovatas
513,N-methyl perfluorooctanesulfonamide ethanol,556.9948,558.0026,191.6,Predicted,14.79,Predicted,1695,Kovatas
514,"23-(Nonylphenoxy)-3,6,9,12,15,18,21-heptaoxatricosan-1-ol",572.3919,573.3997,236.83,Predicted,36.4,Predicted,4065,Kovatas
515,Tetrekis(2-chlorethyl) dichloroisopentyldiphosphate,581.9044,582.9122,211.74,Measured,27.12,Predicted,3156,Kovatas
516,"26-(Nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-1-ol",602.4025,603.4103,242.85,Predicted,39.56,Predicted,4233,Kovatas
517,Tris(2-bromo-4-methylphenyl) phosphate,603.8468,604.8546,211.75,Predicted,28.05,Predicted,3281,Kovatas
518,N-methyl perfluorooctanesulfonamide ethylacrylate,611.0054,612.0132,207.23,Predicted,21.21,Predicted,2361,Kovatas
519,alpha-Hexabromocyclododecane,641.6443,642.6521,190.46,Predicted,25.11,Predicted,2877,Kovatas
520,Beta-hexabromocyclododecane,641.6443,642.6521,191.43,Predicted,25.11,Predicted,2877,Kovatas
521,Gamma-hexabromocyclododecane,641.6443,642.6521,191.85,Predicted,25.11,Predicted,2877,Kovatas
522,syn-Dodecachlorodimethanodibenzocyclooctane,653.711,654.7188,228.14,Predicted,26.66,Predicted,3093,Kovatas
523,anti-Dodecachlorodimethanodibenzocyclooctane,653.711,654.7188,228.24,Predicted,26.66,Predicted,3093,Kovatas
524,Dechlorane 604,691.5101,692.5179,210.15,Predicted,25.74,Predicted,2965,Kovatas
525,Bis(2-ethylhexyl) tetrabromophthalate,705.9147,706.9225,267.37,Predicted,25.04,Predicted,2867,Kovatas
526,Levothyroxine,776.6862,777.694,212.89,Predicted,33.59,Predicted,3868,Kovatas
527,"1-[2,3-Dibromo-4-methyl-5,6-bis(tribromomethyl)phenyl]-2,3-dihydro-1H-indene",867.432,868.4398,244.8,Predicted,32.97,Predicted,3816,Kovatas
528,"Octabromo-2,3-dihydro-1,1,3-trimethyl-3-phenyl-1H-indene",867.432,868.4398,233.49,Predicted,36.84,Predicted,4091,Kovatas
529,"2,4,5,6,7-Pentabromo-1,1,3-trimethyl-3-(2,4,6-tribromophenyl)-2,3-dihydro-1H-indene",867.432,868.4398,241.14,Predicted,37.76,Predicted,4143,Kovatas
530,Tris(tribromoneopentyl)phosphate,1017.3977,1018.4055,249.7,Predicted,35.27,Predicted,3992,Kovatas
